company_name,domain,employee_count,hq_location,company_linkedin_url,infra_check,infra_titles_found,infra_reasoning,dev_count,contact_name,contact_title,contact_linkedin,_has_verified_buyer,_hiring_job_title,_hiring_job_url,_hiring_job_posted,_hiring_job_description
Elligint Health,elliginthealth.com,72,"Edison, New Jersey",https://www.linkedin.com/company/elligint-health,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",8,Daria Frolova,VP of Engineering,https://www.linkedin.com/in/aerostatka,yes,DevOps Engineer (Systems Focus),https://job-boards.greenhouse.io/elliginthealth/jobs/8631630002,2026-07-13 18:07:25,"About Elligint Health: Elligint Health, established in 2024, is leading the charge of innovating healthcare by aligning all stakeholders, delivering intelligent healthcare solutions, and empowering pro-active, whole-person care across the healthcare continuum. Elligint Health integrates vast amounts of data from across the healthcare continuum, delivering intelligence that informs decision-making, enhances care coordination, and improves outcomes. Focused on enabling actionable intervention and whole-person care, Elligint Health helps healthcare organizations navigate complexity, turning insights into strategies that benefit providers, payers, and members and patients alike. With Elligint Health, the future of healthcare is simpler, smarter, and more effective. Position Summary: We are looking for a motivated and experienced DevOps/Systems Engineer to support and optimize our Windows based web services running in the AWS cloud. The ideal candidate is a Windows specialist with strong cloud operations expertise and a solid understanding of healthcare industry security and compliance requirements. Experience with Linux systems is a valuable bonus for supporting our hybrid environment and automation initiatives. Duties & Responsibilities: Perform regular patching, deployments, and system updates for Production and Training environments Administer and maintain all VCRON related configurations, including scheduling, monitoring, and troubleshooting Configure, manage, and support SFTP and HL7 over TCP/IP for ADT file exchanges with vendors Administer and maintain IHE servers for processing CCD files from vendor systems Collaborate closely with the support team to troubleshoot file processing issues and resolve root causes Enhance documentation, monitoring, and alerting to ensure operational continuity and compliance with HIPAA, HITRUST, and other regulatory standards Hybrid work environment - this position is expected to work in-office on a part-time basis Required Qualifications: 4+ years of hands-on experience managing production Windows and MS SQL–based web services in a controlled environment Proven production operations experience in AWS, including EC2, S3, VPC, RDS, and IAM Strong scripting skills in PowerShell, Bash, Python, or similar languages Ability to troubleshoot complex networking and system issues in production environments Preferred Qualifications: Infrastructure as Code tools such as Terraform or CloudFormation Configuration management platforms such as Puppet or Ansible Monitoring and alerting systems like Datadog, New Relic, Splunk, Grafana, PagerDuty, and Nagios Linux administration (Debian/Ubuntu) AWS managed services including ECS/Fargate, OpenSearch/Elasticsearch, ElastiCache/Redis, RabbitMQ, CloudWatch, Kinesis, SNS, and Redshift Experience with Power BI administration, including workspace management, data gateway configuration, and tenant-level governance An opportunity exists for the candidate to participate"
AgZen,agzen.com,38,"Somerville, Massachusetts",https://www.linkedin.com/company/agzen,REVIEW,"""Embedded Systems Engineer"" is an adjacent/unnamed infra signal: ""Embedded Systems Engineer Electrical and Computer Engineer""","""Embedded Systems Engineer"" is an adjacent/unnamed infra signal: ""Embedded Systems Engineer Electrical and Computer Engineer""",2,Ian James,CTO,https://www.linkedin.com/in/iankjames,yes,Senior Platform Engineer,https://jobs.ashbyhq.com/agzen/1acc0b37-5dba-4366-83f1-b1e6899b7721,2026-07-13 0:00:00,"About AgZen: AgZen is a fast-growing precision agriculture company headquartered in Somerville, MA, built on MIT research and focused on one problem: making crop spraying more efficient. Our flagship product, RealCoverage, is the world's first system that measures and controls droplet coverage at the leaf level, giving growers real-time visibility into spray performance and cutting chemical and water use by up to 50% without sacrificing yield. We are a small, technically deep team working at the intersection of fluid mechanics, computer vision, AI, and real agricultural environments. If you want to build technology with measurable impact on how the world grows food, this is the place to do it. About the Role: At AgZen, you’ll be joining a multidisciplinary engineering team that includes hardware, electrical, and software engineers working together to transform traditional agricultural practices. Our mission centers on retrofitting existing sprayers with advanced technology that enables smarter pesticide use through data collection and real-time insights. As part of the infrastructure team, you’ll help design, build, and maintain the tools behind our computer vision systems deployed directly onto sprayers at farms around the world. You’ll directly enable our field teams, dealers, manufacturers, and our perception and application teams, all in pursuit of helping farmers and business partners better understand and optimize chemical usage in agriculture. 📍This role is located in Somerville, MA (Boston area) with work required to be in-person. What You’ll Do Scale a growing network of computer vision systems embedded on sprayers around the world. Ship internal tools supporting manufacturing, maintenance, monitoring, development, and science. Work across the full stack, architecting the backbone of a system that connects firmware, machine learning systems, and user interfaces. Collaborate on features sparked by teammates, company leadership, and real customer needs - then watch your work get used in the field in real time over live satellite connections. Test your work in a hardware-equipped lab that simulates real-world conditions — no waiting on others to see results. Push the limits of what’s possible with edge computing, powering the most user-friendly system in modern agriculture tech. What We're Looking For A bachelor’s degree in computer science or a related field (or equivalent experience). 5+ years of experience in software engineering. Proven skills architecting, implementing, and managing internal tools and platforms. Proficiency with Go strongly desired, especially concurrent or distributed systems. Experience with both cloud infrastructure (Terraform, AWS, Docker) and bare-metal Linux systems. Familiarity with TypeScript (React and React Router). Willingness to learn new tools, dive into unfamiliar systems, and take ownership of real-world problems. Alignment with our mission — we value teammates who care about sustainability and want to m"
VRC,vrc.com.au,382,"New York, NY",https://www.linkedin.com/company/valuation-research-corporation,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",0,,,,no,Cloud Engineer,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=9b136ddc-361a-422a-b03c-668faab57287&jobId=576318,2026-07-13 21:24:00,"**THIS IS A HYBRID ROLE - CANDIDATES MUST LIVE IN OR NEAR MILWAUKEE, WI** About VRC: VRC IS A FULL-SERVICE, INDEPENDENT, GLOBAL VALUATION FIRM THAT FOCUSES EXCLUSIVELY ON VALUATION AND ADVISORY SERVICES. SINCE 1975, WE HAVE DELIVERED VALUATION AND FINANCIAL OPINIONS [https://www.valuationresearch.com/services/] FOR M&A TRANSACTIONS AND THE FINANCIAL AND TAX REPORTING REQUIREMENTS OF FORTUNE 500 COMPANIES, PRIVATE EQUITY FIRMS AND THEIR PORTFOLIO COMPANIES, AND MORE [https://www.valuationresearch.com/industries/]. WE WELCOME YOU TO LEARN MORE ABOUT US [https://www.valuationresearch.com/about/]. About this role: WE ARE SEEKING AN EXPERIENCED CLOUD ENGINEER TO PROVIDE DAY-TO-DAY OPERATIONAL SUPPORT FOR OUR ENTERPRISE NETWORK AND CLOUD INFRASTRUCTURE. THIS ROLE IS ESSENTIAL TO MAINTAINING THE PERFORMANCE, SECURITY, AND RELIABILITY OF OUR HYBRID ENVIRONMENT, WHICH SPANS BOTH ON-PREMISES SYSTEMS AND AZURE CLOUD SERVICES. THE IDEAL CANDIDATE WILL HAVE STRONG HANDS-ON EXPERIENCE WITH AZURE NETWORKING, SECURITY, AND INFRASTRUCTURE COMPONENTS, AND WILL BE RESPONSIBLE FOR MONITORING, TROUBLESHOOTING, AND OPTIMIZING CLOUD AND NETWORK OPERATIONS. YOU’LL COLLABORATE CLOSELY WITH INFRASTRUCTURE AND SECURITY TEAMS TO ENSURE SEAMLESS CONNECTIVITY, SECURE ACCESS, AND EFFICIENT RESOURCE MANAGEMENT ACROSS THE ORGANIZATION. THIS POSITION OPERATES WITHIN AN AGILE ENVIRONMENT, SO FAMILIARITY WITH AGILE METHODOLOGIES IS IMPORTANT. THE CANDIDATE SHOULD BE COMFORTABLE PARTICIPATING IN DAILY STAND-UPS, WEEKLY SPRINT PLANNING, AND REGULAR RETROSPECTIVES, CONTRIBUTING TO A FAST-PACED AND COLLABORATIVE TEAM CULTURE FOCUSED ON CONTINUOUS IMPROVEMENT AND DELIVERY. What you will do: * Provide operational support for enterprise network infrastructure (on-prem and Azure) * Manage Azure components: VNets, NSGs, Application Gateways, Azure Firewall, ExpressRoute * Operate and enhance an Azure Hub-and-Spoke landing zone (VNets/Subnets, NSGs/ASGs, UDRs, routing). * Administer Azure Firewall policies, forced routing/egress control, and logging/diagnostics. * Implement and maintain Private Endpoints/Private Link and Private DNS Zones for private-only service access. * Manage hybrid connectivity and remote access using VPN Gateway (Site-to-Site + Point-to-Site) and ExpressRoute (if applicable). * Monitor and troubleshoot network and connectivity using Azure Monitor, Log Analytics, and Network Watcher. * Own Disaster Recovery and Backup using Recovery Services Vault (Azure Backup + Azure Site Recovery), including DR testing and runbooks. * Drive secure-by-default cloud networking standards, documentation, and continuous optimization. * Collaborate with infrastructure and security teams on changes, upgrades, patching, and incident response. What you will need: * Around 5+ years in a Network Engineer or similar role * Strong understanding of TCP/IP, LAN/WAN, DNS, DHCP, VLANs, routing protocols (BGP, OSPF), IPsec VPN * Hands-on Azure networ"
Windcave,windcave.com,322,"Auckland, AUK",https://www.linkedin.com/company/windcave,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",4,Igor Krushch,Functional Eng/Infra Lead,https://www.linkedin.com/in/igor-krushch-31b1b834,yes,Infrastructure Engineer,https://windcave.bamboohr.com/careers/133,2026-07-14 0:00:00,"About Windcave Founded in 1999, Windcave is a global payments technology company, pioneering Payments as a Service (PaaS) and cutting-edge financial services. Millions of transactions flow through our platform every day for some of the world's most recognizable brands across all industries. We own the whole stack, from bare-metal servers in our datacenters to the edge network and our in-house developed payments software. We're looking for an Infrastructure Engineer in New York to help run it. About the Role Most infrastructure engineering jobs put you a long way from anything that matters, you inherit someone else's design, you raise a change request, and you wait. This role is different. You'll engineer and operate the infrastructure behind a live global payments platform in a high-security, high-uptime PCI DSS environment. That means real ownership designing and building solutions, diagnosing root cause on production systems, and following problems through to resolution rather than handing them off. One day you're working on load balancing and edge security for a payments API processing millions of transactions, the next you're deep in a virtualization cluster or in a datacenter cage. The breadth here is genuinely rare. We run our own hardware, our own network, our own edge, and our own software. You'll work with experienced engineers across our international team, with real autonomy and ownership during US hours and colleagues in other regions providing support. If you're an experienced engineer who wants to work on infrastructure where uptime actually matters, and to keep growing across a wider stack than most companies can offer, this is that role. Our Technology Environment Edge security and CDN for a global payments API: WAF, DDoS protection, rate limiting, and content delivery at the edge, plus Zero Trust network access for staff A live 24/7/365 production estate: Hyper-V virtualization clusters and multi-vendor server and storage hardware across international datacenters Enterprise load balancing (F5 BIG-IP), web servers (IIS, Nginx), and databases (MS SQL, MySQL, MongoDB, Opensearch) Core Microsoft infrastructure: Windows Server, Active Directory, GPO, DNS, and DHCP across a global domain Linux creation and administration Security engineering: SSL/TLS certificate lifecycle, cipher management, PKI, hardware firewalls, and IPsec VPNs Microsoft 365 and Entra ID, Intune/Autopilot device management, Exchange Online, SharePoint Online Network infrastructure: layer 2/3 switching, routing, wireless, and firewalls across LAN/WAN SIP telephony and unified communications Hands-on datacenter/colocation work: racking, structured cabling, fibre patching, and hardware lifecycle management This role includes a rotational after-hours on-call component for critical systems, shared with our international teams so overnight coverage is limited. What You'll Bring Candidates with strong engineering fundamentals and a demonstrated commitment to prof"
BLDG SVC 32 B-J,32bjmemberportal.org,92,"New York, NY",https://www.linkedin.com/company/thomas-shortman-training---32bj,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",0,,,,no,Azure DevOps Engineer,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77d040d9-afa5-44d0-b712-2aa98296db42&jobId=583231&ccId=19000101_000002,2026-07-13 17:39:00,"Job Title: Azure DevOps Engineer Labor Grade: Department: Information Technology Reports To: Manager, DevOps FLSA Status: Exempt Summary: Under the supervision of the Manager, DevOps, the Azure DevOps Engineer will collaborate with internal and external stakeholders to engineer (maintain) the 32BJ Funds primary enterprise Microsoft Azure and on-premises environments supporting business objectives. He/she will primarily be responsible for DevOps activities related to the architecture, design, development, implementation, testing, deployment, automation, security and support of the Microsoft Azure and on-premises environments and application integrations. Essential Duties and Responsibilities: * Develop deployment automation to provide a fully functional cloud stack in Microsoft Azure that supports new and existing environments. * Build, migrate and test Microsoft Azure environments and integrations. * Integration with on-premises applications, cloud providers or other platforms. * Develop templates or scripts to automate everyday infrastructure, development, deployment, or operations functions. * Develops automated release tools meant to allow continuous build and release processes. * Monitor the performance of systems in a cloud based computing environment, including overall system health, reliability, performance, and cost. Able to identify bottlenecks and scale up/down resources to meet demands and expectations. * Incorporate security products and processes into existing and new systems and infrastructure. * Bake operational and security controls into engineering and DevOps pipelines (e.g., build automation and configuration management). * Setup multi-level network environments using Microsoft Azure. * Provision cloud resources to support existing and new applications. * Develop operational best practices to control cloud usage costs. * Build and maintain scalable and performant production infrastructure, improving and ensuring reliability across systems. * Assist IT, Development, and Data teams with Cloud management tasks. * Assist production support teams with troubleshooting anomalies. * Troubleshoot and debug infrastructure issues. * Plan and prioritize activities. * Work on multiple projects at the same time. * Report activities and progress to the management on a weekly basis. * Perform tasks as required by management. * Provide support after hours and on weekends, when necessary. Qualifications: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. * 1-3+ years of hands-on experience with Azure Infrastructure and development solutions. * 1-3+ years of experience in designing DevOps pipelines, installations, configurations, automations and monitoring of various cloud services including: (laaS, PaaS, and SaaS). * Experience in impl"
ASRC Federal,asrcfederal.com,24,"Reston, VA",https://www.linkedin.com/company/data-networks-corporation,REVIEW,"""Senior Systems Engineer"" is an adjacent/unnamed infra signal: ""Senior Systems Engineer""","""Senior Systems Engineer"" is an adjacent/unnamed infra signal: ""Senior Systems Engineer""",1,James Kepler,"CEO (small company, 10-30 employees)",https://www.linkedin.com/in/james-kepler-a6837553,yes,Configuration Management Analyst,https://jobs.dayforcehcm.com/en-US/asrcfh/CANDIDATEPORTAL/jobs/25555,2026-07-13 4:00:00,"ASRC Federal is a leading government contractor furthering missions in space, public health and defense. As an Alaska Native owned corporation, our work helps secure an enduring future for our shareholders. Join our team and discover why we are a top veteran employer and Certified Great Place to Work™ ASRC Federal Mission Solutions is a premier provider of systems engineering, software engineering, system integration and project management services for real-time, mission-critical defense systems. We are seeking a highly motivated Software Configuration Management Analyst to support the development and sustainment of the AEGIS project in Moorestown, NJ. The Software CM Analyst would join a dedicated team of configuration management professionals providing version control and automated build and release pipeline support to over 500 software developers. Responsibilities: Work closely with large SW teams to manage CI/CD processes for SW Builds and Releases in an Agile development environment Support and troubleshoot build issues with build tools, compilers, linkers, Makefiles, XML files, etc for large scale C++ and JAVA programs Coordinate build schedules and timelines with Aegis stakeholders, system developers, integrators, and deployment teams to ensure synchronized delivery Track software build versions, adaptation configurations, and site-specific deployment packages to ensure accurate and authorized release baselines Compile, validate, and stage complete build packages for installation, including software binaries, configuration files, installation scripts, and documentation Serve as a central point of coordination between software engineering, integration, adaptation, test, and hardware teams to ensure all elements required for a build are synchronized Use UNIX/Linux scripting languages to interface with build tools and further automate the build process Use ClearCase or Git as the Version Control system to manage developer workflow and delivery process Experience: Bachelor’s degree or higher (in Engineering, Computer Science, Math, Physics, or related field) or equivalent related work experience This position requires the ability to obtain and maintain a government secret clearance, US Citizenship is required This position requires the successful applicant to obtain and maintain the required security clearance or other authorization(s) within the necessary timeframe required by applicable contract(s) 2-4 years of experience in a Build/Release Engineering, Configuration Management, or DevOps role Experience working in a C++ or Java Programming environment Experience compiling and releasing large-scale software systems in *nix. (CMake, gcc/g++, Java, Ada experience preferred) Experience reviewing compiler output and identifying errors (gcc, java, Ada experience preferred) Experience administering git version control systems, git command-line experience required (additional experience with Bitbucket, GitHub, GitLab, etc. preferred) We invest in t"
Basis AI,basis-ai.com,162,"New York, NY",https://www.linkedin.com/company/get-basis-ai,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",1,Neville Jos,CTO,https://www.linkedin.com/in/neville-jos,yes,Member of Technical Staff - SRE,https://jobs.ashbyhq.com/basis-ai/86e7575d-f4c7-446f-aa47-357be21d061a,2026-07-13 0:00:00,"About Basis Basis builds real agents that do real work in the real economy. Our agents operate for hours at a time, performing end-to-end work for some of the largest accounting firms in the world. We recently raised $100M at >$1B valuation and are racing to deploy the most advanced applied ML at production scale. Our investors include: Khosla Ventures (Keith Rabois & Vinod Khosla), Accel (Miles Clements), Google Ventures, Nat Friedman & Daniel Gross, Adam D'Angelo, Jeff Dean, Jack Altman, Noam Brown, Kyle Vogt, Amjad Masad, Clem Delangue and many other operators/technical leaders. ""Basis is on the frontier of building production-grade, long-horizon agents. They've pushed the limits of what we thought our models could do on real-world, economically valuable, complex accounting tasks. They've been a great collaborator in helping us shape what the future of agents looks like."" — Prashant Mital, Applied AI Lead, OpenAI About the Role As a Site Reliability Engineer at Basis, you will ensure the reliability, scalability, and performance of our AI-powered accounting platform. You’ll join a high-leverage infrastructure team that sits at the intersection of product and platform, owning the systems that keep Basis fast, secure, and always on as we scale. This is a hands-on role for an engineer who loves building robust systems, reducing complexity through automation, and taking real ownership. While your primary focus will be infrastructure and reliability, strong software engineering skills are essential. As a growing startup, we value engineers who are comfortable wearing multiple hats and jumping in wherever they can have the biggest impact. If you’re excited about building resilient systems from the ground up and shaping reliability practices at a fast-growing company, we’d love to work with you. What You’ll Do Architect, build, and operate reliable, scalable, and secure infrastructure for our production systems. Own cloud infrastructure across compute, storage, and networking, optimizing for availability, performance, and cost efficiency. Design and maintain CI/CD pipelines, infrastructure-as-code, and automation to improve developer velocity and system reliability. Lead incident response efforts, including on-call rotations, incident coordination, postmortems, and root cause analyses. Partner closely with product and engineering teams to balance reliability, performance, cost, and speed of development. Automate operational workflows such as capacity planning, safe rollouts, graceful degradation, and data access controls. Provide technical leadership and mentorship, helping shape the culture and standards of the infrastructure team. What You’ll Bring 5+ years of experience building and operating production infrastructure at scale. Strong software engineering fundamentals and proficiency in at least one programming language. Deep understanding of cloud infrastructure, networking, databases, and security principles. Experience with CI/CD systems,"
MRIoA,mrioa.com,370,"Salt Lake City, Utah",https://www.linkedin.com/company/medical-review-institute-of-america-llc,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",2,,,,no,Remote Principal Cloud Engineer (Microsoft Azure),https://www.comeet.com/jobs/mrioa/39.004/remote-principal-cloud-engineer-microsoft-azure/03.E6D,2026-07-13 20:05:18,"Who We Are - Motivated by Purpose. Powered by Clinical Expertise. Founded in 1983, we’re a clinically-driven, tech-enabled utilization management company offering expert clinical reviews, regulatory guidance, and actionable insights to healthcare organizations. Excellence starts with our people. WE OFFER A competitive compensation package. Benefits include healthcare, vision, and dental insurance, a generous 401 (k) match, paid vacation, personal time, and holidays. Growth and training opportunities. An award-winning remote work environment POSITION OVERVIEW Our Principal Cloud Engineer is a senior technical leader responsible for designing, governing, and optimizing cloud infrastructure and platforms across the organization. In this role, you will serve as the organization's senior technical authority for cloud architecture and infrastructure, bringing extensive expertise to establish engineering standards and governance, and to lead complex cloud initiatives from design through delivery. Beyond technical leadership, you will mentor and guide the Systems Administration and Information Security teams, ensuring knowledge is shared through documentation, standards, and coaching. You will translate complex technical concepts into clear business and operational decisions, provide leadership during critical production events, and set the benchmark for engineering excellence. Roles: Serve as the highest-level technical authority and subject matter expert for all Azure cloud infrastructure and architecture Define cloud engineering standards, architectural patterns, and governance practices that the organization adopts and follows Own and lead cloud infrastructure projects end-to-end — from design and planning through execution, delivery, and post-deployment operations Support the Manager of IT & IS on cloud strategy, architecture roadmap, and platform investment decisions Mentor and develop the Systems Administration and Information Security teams — building organizational cloud competency through hands-on guidance, deliberate coaching, and knowledge transfer Participate in evaluating and onboarding new cloud engineering talent as the team grows Collaborate with Development teams to design and deliver application infrastructure on Azure Provide Tier 2/3 escalation support to the IT Help Desk for complex infrastructure and cloud issues Partner with the Information Security team to implement and evidence compliance controls for HITRUST 11.3r2 and SOC2 Major Responsibilities or Assigned Duties: Architect, deploy, and manage a secure Azure cloud environment including hub-spoke network topology, Virtual Networks, Network Security Groups, Azure Firewall, Application Gateway, API Management, and Private Endpoints Define and enforce cloud governance standards including subscription management, Azure Policy, resource organization, tagging taxonomy, and cost management across all environments Establish and maintain Infrastructure as Code (Te"
TENEX.AI,tenex.ai,139,"Sarasota, FL",https://www.linkedin.com/company/tenex-ai,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",6,Venkatesh M,Functional Eng/Infra Lead,https://www.linkedin.com/in/venkimuthusamy,yes,Staff Site Reliability Engineer,https://jobs.ashbyhq.com/tenex/fc7c5446-8d7d-4f8e-97fa-14a7e4ac3ad6,2026-07-13 0:00:00,"Company Overview TENEX is an AI-native, automation-first, built-for-scale Managed Detection and Response (MDR) provider. We are a force multiplier for defenders, helping organizations enhance their cybersecurity posture through advanced threat detection, rapid response, and continuous protection. Our team is composed of industry experts with deep experience in cybersecurity, automation, and AI-driven solutions. Backed by leading investors, we are rapidly growing and seeking top talent to join our mission of revolutionizing the AI-Native MDR landscape. We’re a fast-growing startup backed by industry experts and top-tier investors led by Crosspoint Capital Partners and also backed by Shield Capital, DTCP (formerly Deutsche Telekom Capital Partners), Deepwork Capital, and the Florida Opportunity Fund. Seed round led by Andreessen Horowitz (a16z). As an early employee, you’ll play a meaningful role in defining and building our culture. Get in on the ground floor. We’re a small but well-funded team that just raised a substantial round – joining now comes with limited risk and unlimited upside. As a Staff Site Reliability Engineer at TENEX, you will be a key technical driver responsible for ensuring the scalability, reliability, and performance of our AI-driven cybersecurity platform. You will play a crucial role in designing resilient infrastructure, automating operational workflows, and shaping the future of our production environments while collaborating across engineering teams to drive technical excellence. Culture is one of the most important things at TENEX.AI—explore our culture deck at culture.tenex.ai to witness how we embody it, prioritizing the irreplaceable collaboration and community of in-person work. Location: This role will require Monday - Thursday onsite in any of our locations. WFH Friday. Job Responsibilities System Resilience: Design, build, and maintain highly available, scalable, and secure infrastructure to support our AI-native cybersecurity platform. Automation & Tooling: Develop internal tooling and automation to streamline deployment processes, incident response, and capacity planning. Performance Engineering: Monitor system performance and proactively identify bottlenecks, optimizing infrastructure for low-latency, high-throughput AI workloads. Incident Management: Lead incident response efforts, conduct post-mortems, and implement long-term solutions to prevent recurring reliability issues. Infrastructure as Code (IaC): Manage infrastructure via code, driving consistency, auditability, and scalability across our cloud environments (e.g., AWS, GCP). Cross-Functional Collaboration: Partner with sibling Engineering teams, Product, and Security teams to ensure reliability is baked into our development lifecycle from concept to production. Required Skills & Qualifications SRE & Infrastructure Expertise Core Engineering: 10+ years of experience in SRE, DevOps, or Software/Systems Engineering, particularly in managing production"
Overflow,0verflow.com,111,"Los Gatos, California",https://www.linkedin.com/company/overflow-co,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",6,Paul Lehal,Functional Eng/Infra Lead,https://www.linkedin.com/in/paul-lehal,yes,DevSecOps Engineer,https://jobs.ashbyhq.com/overflow/b004f58c-4cad-4cea-86da-a953d62c0028,2026-07-14 0:00:00,"Who We Are Overflow is a Series C, growth-stage technology company on a bold mission: to inspire the world to give. We're a vertical fintech and SaaS platform unlocking more ways to give — cash, stock, crypto, and beyond — through a beautifully designed ecosystem built for high-impact churches, nonprofits, and mission-driven institutions. Backed by Uncork Capital, Craft Ventures, Salesforce Ventures, R7, and WIF (one of the largest lenders to faith and philanthropic organizations in the country), we're building the infrastructure that makes generosity frictionless at scale. Our Founding Principles Overflow was founded on the belief that generosity transforms people and communities. Inspired by Proverbs 11:24 — ""The world of the generous gets larger and larger"" — we operate with integrity, stewardship, service, and excellence. How We Work Overflow operates with a flexible work model. While there is no company-wide in-office requirement, some teams may establish in-person collaboration rhythms based on their function, goals, and team needs. We maintain offices in Los Gatos, CA and Birmingham, AL for team collaboration, coworking, meetings, and intentional in-person connection. The Role As our first DevSecOps Engineer, you will lay the groundwork for our new Platform/DevOps team. Your primary focus will be on Site Reliability Engineering (SRE) and DevOps—keeping our systems highly available, scalable, and efficient—while embedding a strong security posture into everything we build. You will build the ""paved road"" for our engineering teams by managing our containerized AWS environment, automating deployments and building out observability foundations. As we scale, you will be instrumental in maintaining our SOC 2 compliance and driving the technical architecture required for our upcoming PCI Level 1 certification. What You Will Do Cloud Infrastructure & Platform Security Secure, manage, and scale Overflow’s cloud environment, implementing least-privilege IAM policies, network security (VPCs, WAFs, Security Groups), and robust secret management. Refine existing infrastructure provisioning using Infrastructure as Code (IaC) tools, ensuring security best practices. Deploy and manage comprehensive observability, logging, and alerting frameworks to detect performance bottlenecks, anomalous behavior, or potential security incidents. Secure CI/CD & Developer Enablement Own and optimize our continuous integration and deployment (CI/CD) pipelines. ""Shift Left"" by integrating automated security testing (SAST, DAST, dependency scanning, container scanning) directly into the developer workflow. Act as a security champion, partnering with software engineers to perform threat modeling, architectural reviews, and secure coding training. Compliance & Data Governance Action on compliance requirements (SOC 2, PCI-DSS, and data privacy regulations) Partner with our legal and operations teams to streamline security audits, penetration testing, and vendor risk assessment"
