email,domain,Company,Industry Groups,Business Model,Revenue Range,Employees,City,State,Country,Description,Score,Public Emails
info@myaffordablemove.com,myaffordablemove.com,Affordable Moving & Delivery,CONSUMER_SERVICES:1.0,"B2B:0.96, B2C:0.89",1-10M,1-10,Irvine,CA,US,"Irvine Moving Company is a moving and storage service based in Irvine, California, offering a range of relocation solutions for both residential and commercial moves. Their main functionalities include local and interstate moving services, packing, loading, and unloading, as well as providing 24/7 support for packing, shipping, and storage needs. The company employs certified movers who assist with all aspects of the move process, including furniture, furniture, and household items, ensuring safe transport and personalized assistance throughout the moving experience. They also offer tailored pricing based on the size of the load, equipment, and number of movers to meet individual customer needs.",70,info@myaffordablemove.com
contact@expresshaulers.com,expresshaulers.com,,,,,,,,,,,
info@ramseysmoving.com,ramseysmoving.com,Ramsey's Moving Systems,CONSUMER_SERVICES:0.99,"B2B:0.93, B2C:0.98",1-10M,1-10,Media,PA,US,"Ramsey's Moving Systems is a licensed moving company based in Delaware County, Pennsylvania, offering a range of services for residential and commercial moves. Their main functionalities include residential relocations, senior relocation, long-distance moving, packing, unpacking, junk removal, storage solutions, and specialized moves such as specialty items like pianos and fitness equipment. The company emphasizes customer service and aims to provide reliable support throughout the moving process, ensuring that clients receive timely assistance and expert advice.",249,info@ramseysmoving.com
sales@movingrelocationsystems.com,movingrelocationsystems.com,Moving Relocation Systems,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.94",1-10M,1-10,Norristown,PA,US,"Moving Relocation Systems is a moving company that offers a range of services including long-distance moving, commercial moving, packing, and storage. Their main purpose is to simplify the relocation process for families by providing personalized support, ensuring safe and timely delivery of belongings. Key features include a team of skilled professionals, flexible pricing options, and a commitment to customer satisfaction through testimonials from satisfied customers.",81,sales@movingrelocationsystems.com
info@metromovers.com,metromovers.com,,,,,,,,,,,
info@pleasantrelocation.com,pleasantrelocation.com,Pleasant Relocation,CONSUMER_SERVICES:1.0,B2C:0.97,1-10M,1-10,Agoura Hills,CA,US,"Pleasant Relocation offers professional moving services for both local and long-distance moves. Their main functionality includes packing, loading, and transport of belongings, ensuring safe and efficient relocation processes. Key features include a streamlined quote process, expert packing services, climate-controlled storage solutions, and a commitment to customer communication through voice memo service. They also provide free estimates based on individual needs and have a team of experienced professionals dedicated to delivering quality service.",51,info@pleasantrelocation.com
privacy@movingandtrucking.com,movingandtrucking.com,Moving & Trucking,"CONSUMER_SERVICES:0.84, SUPPLY_CHAIN_AND_PROCUREMENT:0.16","B2B:0.85, B2C:0.9",10-100M,1-10,Long Island,NY,US,"Moving and Trucking is a moving company based in Long Island, NY, specializing in various relocation services including local moves, long-distance moves, office relocations, hot tub moves, and storage solutions. They offer personalized packing, furniture assembly, and specialized services for fragile items like pianos and fine art. The company also provides door-to-door service across multiple destinations in New York, Florida, and Texas, along with a smart quote system to ensure competitive pricing and customer satisfaction.",100,privacy@movingandtrucking.com
info@westtennesseemovers.com,westtennesseemovers.com,,,,,,,,,,,
contact@wearethebestmovingandstorage.com,wearethebestmovingandstorage.com,We Are The Best Moving and Storage,CONSUMER_SERVICES:1.0,"B2B:0.94, B2C:0.89",1-10M,11-50,Aurora,CO,US,"Moving In is a moving company that offers a range of services for both residential and commercial moves. Their main functionalities include long-distance moving, auto transport, local and national movers, packing, and storage solutions. They provide free quotes, handle all aspects of the move process, including vehicle transport, shipping, and packing, ensuring efficient and cost-effective relocation options. The company emphasizes customer service and has over 20 years of experience in the industry, catering to various regions across the United States.",43,contact@wearethebestmovingandstorage.com
info@airdriemoving.com,airdriemoving.com,Airdrie Moving Inc.,CONSUMER_SERVICES:1.0,"B2B:0.91, B2C:0.97",<1M,1-10,Airdrie,AB,CA,"Airdrie Moving Inc. is a moving company based in Airdrie that offers a variety of relocation services for residential, office, and long-distance moves. Their main functionalities include packing, loading, unpacking, and transporting household items, as well as specialized services for senior relocations. The company is licensed and insured for handling moving materials, ensuring a smooth transition for clients across Alberta and surrounding areas. They also provide personalized moving contracts and early booking options to accommodate clients' needs.",63,info@airdriemoving.com
eoconnell@aperfectmover.net,aperfectmover.net,,,,,,,,,,,
