Name,Domain,Industry Groups,Description,Employees,Street,City,Country,company_clean,Final Email
1 Stop Pack n' Ship,1stoppacknship.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.87,"1 Stop Pack n' Ship is a moving and shipping company that offers domestic and international shipping services for both residential and commercial clients in Maryland, Virginia, and surrounding areas. They provide packing, crating, and transportation solutions for items such as artworks, electronics, and furniture, with options for door-to-door service and cargo transport. The company operates four locations across the state and emphasizes quality service, including GPS tracking and on-time delivery, ensuring timely shipments. Customers can request free quotes and manage their shipping needs through a dedicated team of professionals.",1-10,12300 Carroll Ave,North Bethesda,US,1 Stop Pack n' Ship,info@1stoppacknship.com
21st Century Relocations,21stcenturyrelocations.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.91,"21st Century Relocations is an international relocation service that offers a range of solutions for individuals, families, and corporate relocations. Their main functionalities include pre-move surveys, packing, transportation, customs brokerage, and pet moving services. They provide 24/7 support, ensure compliance with regulations, and handle high-value shipments efficiently, catering to both individual and corporate relocation needs. The company emphasizes personalized service and transparent communication throughout the moving process.",1-10,458 Elizabeth Ave,Somerset,US,21st Century Relocations,info@21stcenturyrelocations.com
49van,49van.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.95,"49van.com is a transportation service that specializes in on-demand home goods delivery and moving across Canada and the United States. It offers a range of services including curbside delivery, small moves, furniture assembly, and building materials delivery, with options for same-day or scheduled appointments. Customers can easily book services online, receive instant quotes, and benefit from transparent pricing without hidden fees. The platform also provides expert advice to help customers select the right transport methods for their needs.",1-10,1920 Yonge St,Toronto,CA,49van,info@49van.com
73 Realty Group,73realty.ca,REAL_ESTATE:1.0,"The website offers a range of financial services focused on investment opportunities, particularly in the Santa Barbara County area. It provides information on various investment strategies, including cash flow management and tax advantages for investors. Users can find details about upcoming events, such as an annual concert series and retirement plans, along with tips for navigating the local market. The site aims to help individuals understand the impact of these factors on their investments and future investments.",11-50,84 Chain Lake Drive,Halifax,CA,73 Realty Group,krista@73realty.ca
"All America Auto Transport, Inc.",aaat.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.93,"All America Auto Transport (AAAT) is a vehicle shipping service that specializes in door-to-door transportation for individuals and businesses. The company offers a streamlined process where customers can book their cars online, with no upfront payment required until they are dispatched. AAAT features a Vehicle Shipment Security System (VS3), which includes verified carriers, identity checks at pickup, live tracking, and real-time updates on delivery dates. With over 60 years of experience, AAAT has successfully arranged more than 500,000 vehicles across the United States and Canada.",11-50,7100 Saunders Ct.,Bethesda,US,All America Auto Transport,aaat@aaat.com
Abrams Auto Transport,abramsautotransport.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.88,"Abrams Auto Transport offers automotive transportation services across Canada and the U.S., specializing in various types of vehicles including snowbirds, dealerships, manufacturers, and luxury cars. The company provides door-to-door shipping options and has over 40 years of experience in the industry. Customers can request a free quote online, schedule pickups or dropshomes, and benefit from competitive pricing and expert customer service.",11-50,1 Promenade Circle,Thornhill,CA,Abrams Auto Transport,info@abramsautotransport.com
Absolute Home Furnishings,absolutehomefurnishings.com,E-COMMERCE:0.91,"Absolute Home Furnishings is an online furniture store based in Las Vegas that offers a wide range of home furnishings. The website features categories such as bedroom sets, dining tables, sofas, office furniture, and accessories, allowing customers to browse and purchase items easily. Key functionalities include free delivery on orders over $1,000, a user-friendly shopping experience with multiple payment options, and customer reviews highlighting the quality and service provided.",11-50,6145 Harrison Dr.,Las Vegas,US,Absolute Home Furnishings,support@absolutehomefurnishings.com
Accelerated Laboratory Logistics,acceleratedmoving.com,"SUPPLY_CHAIN_AND_PROCUREMENT:0.84, BUSINESS_PRODUCTS_AND_SERVICES:0.06","Accelerated Laboratory Logistics (ALL) is a moving company specializing in the relocation of laboratory equipment, medical centers, and university laboratories across the United States. They offer a range of services including pre-move consulting, move coordination, and project management for both large and small moves, particularly those involving biomedical research and healthcare facilities like NASA and CDC. Key features include specialized moving for biological specimens, office relocations, and temperature monitoring services, all managed by experienced professionals who prioritize timely completion and quality service.",1-10,4001 Refugee Road,Houston,US,Accelerated Laboratory Logistics,newcustomer@acceleratedmoving.com
"Accent Moving, Storage & Logistics",accentmoving.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.91,"Accent Moving, Storage & Logistics is a moving company based in Tulsa, Oklahoma, offering a range of services for both residential and commercial moves. They provide packing, storage, and logistics management tailored to meet the specific needs of their clients. Key features include free in-home estimates, expert planning for move plans, secure vaulted storage solutions, and assistance with shipping and returns. Established in 1939, Accent aims to simplify the moving process for families and businesses by handling all aspects of the relocation process.",1-10,400 N. Poplar Ave.,Broken Arrow,US,"Accent Moving, Storage & Logistics",sales@accentmoving.com
American Escrow & Closing Company,aeccmobility.com,BUSINESS_PRODUCTS_AND_SERVICES:0.92,"AECC is a company that provides services for employee mobility, particularly in the U.S., Canada, and beyond. Their main offerings include home sale closing services to minimize costs and customs challenges, as well as global mobility solutions for expatriation, repatriation, and payroll management. AECC focuses on delivering accurate and detailed reporting, fast response times, and dedicated professionals to assist clients throughout the relocation process.",11-50,4801 Prime Parkway,Mchenry,US,American Escrow & Closing,info@aeccmobility.com
Air Concepts USA,airconceptsusa.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.94,"Air Concepts USA is a logistics service provider that specializes in shipping, packing, and storage solutions for businesses and educational institutions. They manage the entire shipment process, from customs paperwork to delivery, ensuring timely and safe deliveries across various countries. Key features include door-to-door shipping, proactive problem prevention, and tailored logistics plans based on client needs. The company also offers specialized services for education and trade shows, along with comprehensive support throughout the shipping process.",1-10,645 Se Central Pky,Stuart,US,Air Concepts USA,customerservice@airconceptsusa.com
Airport Cargo Warehouse Inc.,airportcargo.ca,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"Airport Cargo Warehouse provides warehousing, distribution, and transportation services. Their main functionality includes offering local cartage, sea container transport, and import/export solutions for various industries such as automotive, aerospace, and food production. They focus on customer satisfaction and maintain a high standard of safety with regulatory compliance. The company also allows customers to request rates and track shipment status through their website.",11-50,905 Orlando Drive,Mississauga,CA,Airport Cargo Warehouse,acwwarehouse@airportcargo.ca
