Name,Domain,Industry Groups,Description,Employees,Street,City,Country,company_clean,Final Email
MyOffice,4myoffice.com,"BUSINESS_PRODUCTS_AND_SERVICES:0.94, CONSTRUCTION:0.06","MyOffice is a company that specializes in office furniture and space planning, design, and sales services. They offer a range of products including workstations, desks, tables, seating, architectural walls, and security systems to enhance workplace efficiency and comfort. Their main functionality includes facilitating office transitions, managing structured cabling, sound masking, access control, and building decommissioning, as well as providing quick shipping options for their furniture needs. MyOffice also offers managed IT services and financing solutions tailored to meet the specific needs of businesses across various industries.",51-200,901 Cherry Ave.,San Bruno,US,MyOffice,salesinfo@4myoffice.com
A1 Auto Transport,a1autotransport.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.93,"A1 Auto Transport is a logistics service that specializes in vehicle transportation for cars, motorcycles, boats, and yachts. The company offers tailored transport solutions across the United States and internationally, ensuring safe and efficient shipping from one location to another. Key features include a vetted network of certified carriers, real-time data analysis for competitive pricing, and a focus on customer care throughout the moving process. A1 Auto also provides specialized services for high-value vehicles, including classic cars, electric vehicles, and marine transportation, along with flexible scheduling options and transparent pricing without upfront fees.",51-200,9032 Soquel Drive,Aptos,US,A1 Auto Transport,info@a1autotransport.com
ABC Warehouse,abcwarehouse.com,RETAIL:0.99,"ABC Warehouse is a retail store that offers a variety of appliances, including dishwashers, refrigerators, TVs, and mattresses in Michigan, Ohio, and Indiana. The main functionality of the website includes browsing and purchasing appliances, scheduling home delivery or installation services, and providing financing options. Key features include an extended warranty on appliances, a mobile app for easy access to appliance information, and various moving and hauling services for old furniture. Customers can also find promotions and discounts on their purchases through the site.",501-1000,P.O. Box 4657,Troy,US,ABC Warehouse,support@abcwarehouse.com
ACCO Material Handling Solutions,accomhs.com,MANUFACTURING:1.0,"ACCO is a company that provides material handling solutions, including overhead equipment for warehouse and plant operations. Their main functionality includes offering custom quotes, technical support, and training programs tailored to the needs of various industries such as automotive, pharmaceuticals, and food production. Key features include a wide range of products like lifting carts and trailers, an emphasis on safety and efficiency in material handling, and resources for potential dealers to become buyers or partners.",51-200,76 Acco Drive,York,US,ACCO Material Handling Solutions,info@accomhs.com
Activo,activo.ca,IT_SERVICES:0.94,"Activo is a Canadian IT solutions provider that specializes in network infrastructure and hardware services for businesses across multiple locations. Their main offerings include national rollouts, customized network performance optimization, managed services, physical security systems, audio/visual connectivity, voice and collaboration solutions, and carrier services. Activo aims to simplify technology transitions and enhance business communication and efficiency while reducing costs for their clients.",201-500,Gough Rd,Markham,CA,Activo,hrm@activo.ca
AGS International Movers,agsmovers.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.91,"AGS International Movers is a global mobility company that provides domestic and international moving services, including secure storage, vehicle transport, and office relocation. The company operates in 147 countries across five continents, assisting over 4,000 families annually with their relocation needs. AGS focuses on customer satisfaction through tailored solutions, security for belongings, and innovative technology to streamline the move process. Their services also include virtual consultations and comprehensive support throughout the relocation journey.",1001-5000,,Branches,US,AGS International Movers,confidential@ags-globalsolutions.com
Airports Council International,airportscouncil.org,NONPROFIT_AND_PHILANTHROPY:0.95,"The Airport Council International-North America (ACI-NA) is an organization that advocates for the interests of airports in North America. Its main purpose is to improve airport operations, safety, and passenger experiences through various initiatives such as airport competition, environmental management, and public safety strategies. ACI- NA also provides research reports, educational programs, and resources to support airport professionals and enhance economic growth and efficiency within the industry.",51-200,1615 L Street Nw,Washington,US,Airports Council International,memberservices@aci-na.org
AirSea Packing Group,airseapacking.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"AirSea Packing provides logistics services focused on the transportation, storage, and installation of bespoke furniture and art. Their main functionalities include white-glove delivery, international transport for items from major US cities to Europe, and comprehensive inventory management. Key features include personalized support for private clients, a network that offers weekly shipping options, and specialized services for art galleries, dealerships, and realtors. AirSea aims to simplify the logistics process for various industries, including luxury retail, hospitality, and e-commerce.",51-200,5613 Blue Bird Avenue,Dallas,US,AirSea Packing Group,customerservice@restassuredaz.com
Alexander's Mobility Services,alexanders.net,SUPPLY_CHAIN_AND_PROCUREMENT:0.91,"Alexander's Mobility Services is a moving company that offers a range of relocation, logistics, and storage solutions for individuals and organizations. Their main services include household moving, corporate relocation, commercial moving, international moves, and specialized transportation. Key features include personalized packing assistance, error-free move planning, and the ability to handle complex relocations such as sensitive equipment and medical supplies. The company operates across multiple locations in North America and emphasizes timely and efficient service.",201-500,2942 Dow Avenue,Tustin,US,Alexander's Mobility Services,info@alexanders.net
All Points Relocation Service Inc.,allpointsrelocation.com,"HUMAN_RESOURCES:0.85, SUPPLY_CHAIN_AND_PROCUREMENT:0.12","All Points Relocation provides corporate and employee relocation services in Canada and globally. Their main functionality includes assisting with residential and business moves, as well as offering immigration services for international students. Key features include customized solutions through a network of logistics partners, comprehensive support throughout the relocation process, and a focus on creating a smooth transition for employees.",51-200,3250 Bloor Street W.,Etobicoke,CA,All Points Relocation Service,mdeane@allpointsrelocation.com
American Box Company,amboxkc.com,MANUFACTURING:0.91,"American Box Company is a packaging solutions provider that specializes in custom corrugated boxes, displays, and fulfillment services. They design, manufacture, and ship tailored to meet the specific needs of businesses across various industries, including food, pharmaceuticals, and e-commerce. Key features include a focus on quality, quick turnaround times, and a commitment to customer service, ensuring effective packaging solutions that enhance product visibility and operational efficiency.",51-200,23128 West 43Rd Street,Shawnee,US,American Box,info@amboxkc.com
Atelier 4,atelier4.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"Atelier 4 is a logistics company specializing in the transportation, storage, and installation of fine art across four U.S. cities: New York City, Miami, Los Angeles, Charlotte, and Charlotte. They offer climate-controlled transport, custom crating, and comprehensive support for various art projects, including exhibitions and installations. Key features include same-day quotes, ICEFAT-certified logistics, and specialized services like Art Aboard for luxury watercraft on international voyages.",51-200,35-00 47Th Avenue,Long Island City,US,Atelier 4,hello@atelier4.com
Banc of California,bancofcal.com,FINANCIAL_SERVICES:0.94,"Banc of California is a financial institution that offers a range of banking services for individuals, businesses, and communities across California. Its main functionalities include personal and business banking, lending solutions, credit card management, and payment processing services. Key features include online and mobile banking options, specialized banking for various industries such as multifamily housing, education, government, and venture finance, along with tools for managing payments, treasury management, or asset-based lending. The bank also provides resources for community engagement and financial literacy to support affordable housing and responsible investing.",1001-5000,238 Macarthur Place,Santa Ana,US,Banc of California,clientservices@bancofcal.com
Benivo,benivo.com,HUMAN_RESOURCES:0.94,"Benivo is a platform that streamlines employee relocation services and offers technology solutions to enhance the management of global mobility. It provides managed services such as VIP mobility, cost estimates, payroll reporting, and vendor management through AI dashboards and automated workflows. Key features include real-time tracking of milestone events, data protection measures, and integration with existing systems to reduce manual effort and improve efficiency in moving employees globally.",51-200,,,US,Benivo,support@benivo.com
Berkshire Hathaway HomeServices Florida Realty,bhhsfloridarealty.com,REAL_ESTATE:0.95,"Berkshire Hathaway HomeServices Florida Realty is a real estate agency that offers services for buying and selling residential, commercial, and luxury properties in Florida. Their main functionalities include providing mortgage assistance, home value reports, and personalized support throughout the buying or selling process. They also offer specialized services such as luxury marketing, relocation assistance, and title and guarantee services, catering to various communities across Central and East Coast Florida.",501-1000,13794 Nw 4Th Street,Sunrise,US,Berkshire Hathaway HomeServices Florida Realty,relopro@bhhsfloridarealty.com
Blue Moon Estate Sales,bluemoonestatesales.com,REAL_ESTATE:0.83,"Blue Moon Estate Sales is a national network that facilitates estate sales, liquidation, and relocation for individuals and families. The service offers professional staging, market value research, and expert management of the sale process to ensure a smooth transition for clients. They provide free consultations to help determine the best selling options and utilize advanced technology for efficient staging and pricing. Clients can easily search for upcoming estate sales by entering their property's details and preferences.",51-200,160 Ne Maynard Rd,Cary,US,Blue Moon Estate Sales,info@bluemoonestatesales.com
BNSF Logistics,bnsflogistics.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.95,"BNSF Logistics is a logistics company that provides a range of transportation and supply chain services, including rail, flatbed, and expedited freight options. Their main functionality includes project management, engineering solutions, and cross-border shipping for complex moves across various industries such as energy and manufacturing. Key features include custom transport fixtures, inventory management, and risk management to ensure efficient and secure operations for their clients. BNSF also offers specialized services like the delivery of heavy equipment and solar products, along with warehousing solutions tailored to specific industry needs.",501-1000,3501 Olympus Blvd.,Dallas,US,BNSF Logistics,supplierservices@bnsflogistics.com
Bradford Systems,bradfordsystems.com,BUSINESS_PRODUCTS_AND_SERVICES:0.98,"Bradford Systems provides a range of integrated storage solutions designed to enhance operational efficiency and security for various industries, including education, public safety, healthcare, and retail. Their offerings include high-density mobile storage systems, modular casework, smart lockers, and digital storage solutions that integrate with existing warehouse operations. Key features include customizable shelving options, automated storage management systems, and specialized services like document scanning and compliance support to optimize resource use and improve overall storage performance.",51-200,945 N. Oaklawn Avenue,Elmhurst,US,Bradford Systems,info@bradfordsystems.com
Cartus,cartus.com,HUMAN_RESOURCES:0.93,"Cartus is a corporate relocation company that provides tailored mobility solutions for businesses looking to relocate employees globally. Their main functionality includes managing the entire relocation process, from planning and onboarding to support cultural immersion and settling in new environments. Key features include a global talent mobility program, customizable relocation benefits, and technology-driven strategies that enhance employee experiences and productivity while ensuring compliance with industry standards. Cartus aims to empower clients through flexible mobility and innovative solutions that meet their specific needs.",1001-5000,100 Reserve Road,Danbury,US,Cartus,cartussolutions@cartus.com
Castellini,castellinicompany.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"Castellini is a company that provides supply chain services, specializing in frozen and cold storage solutions. Their main functionality includes managing the entire supply chain process from product delivery to distribution, ensuring safety and sustainability in their operations. Key features include a focus on customer service, innovative solutions for complex challenges, and a commitment to excellence in their offerings.",201-500,2 Plum St,Wilder,US,Castellini,info@castellinicompany.com
Central Bank,centralbank.net,FINANCIAL_SERVICES:1.0,"Central Bank offers a range of banking services for personal, business, and corporate customers. Its main functionalities include checking and savings accounts, loans (such as mortgages and auto), credit cards, and digital banking solutions like mobile payments and remote deposit capture. The bank also provides financial planning tools, fraud prevention strategies, and treasury management services to support businesses in managing their finances effectively.",1001-5000,238 Madison Street,Jefferson City,US,Central Bank,cbccustomerservice@centralbank.net
Certified Logistics,certifiedmsi.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"Certified Logistics is a corporate relocation and logistics service provider operating in New York, New Jersey, Connecticut, and the Mid-Atlantic region. The company specializes in project management, glass wall distribution, new furniture installation, corporate relocation, change management, and asset management. Their approach focuses on detail-oriented planning and revision of projects to ensure efficient handling of complex logistics needs for clients.",51-200,461 T 120 Avenue South,Secaucus,US,Certified Logistics,info@certifiedmsi.com
Clark's White Glove Delivery,clarkswgd.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.92,"Clark's White Glove Delivery is a logistics service that specializes in white glove delivery and various moving and storage solutions. They offer services such as furniture assembly, installation, climate-controlled warehouse storage, in-home moving, and furniture repairs. With over 25 years of experience, their trained teams oversee the entire delivery process to ensure smooth and efficient processes for clients across multiple locations in the Midwest.",51-200,1416 Gentry Street,North Kansas City,US,Clark's White Glove Delivery,jimclark@clarkswgd.com
CMS Companies,cmscompanies.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"CMS Companies is a moving company that offers a range of services including local, long-distance, international, and corporate relocation. They provide customized solutions for residential and business moves, office relocations, and logistics management. Key features include a nationwide network of over 1,500 packing partners, 24/7 customer support, and a focus on efficient move planning and tracking. With over 145 years of combined experience, CMS aims to deliver seamless moving experiences while ensuring client satisfaction.",51-200,835 N. 47Th Ave,Phoenix,US,CMS Companies,salescenter@cmscompanies.com
Coldwell Banker Caine,coldwellbankercaine.com,REAL_ESTATE:1.0,"Coldwell Banker Caine is a real estate agency serving Greenville, Spartanburg, and Western Upstate. The agency offers services for both residential and commercial properties, including buying, selling, or renting homes. They also provide relocation services to help clients find suitable locations in South Carolina. Additionally, Coldwell Bankers Caine supports agents with training and resources to enhance their professional skills in the real estate market.",201-500,321-A Crowe Creek Road,Six Mile,US,Coldwell Banker Caine,info@cbcaine.com
CompassMSP,compassmsp.com,IT_SERVICES:0.94,"CompassMSP is a managed IT and cybersecurity service provider that offers tailored solutions for small to midsized businesses. Their main functionality includes providing 24/7 support, managing Microsoft 365, and offering security advisory services. Key features include compliance management, cloud infrastructure management, data backup and recovery, and AI modernization, all aimed at enhancing operational efficiency and ensuring secure digital experiences. CompassMSP operates across multiple locations in the United States and Canada, focusing on building long-term partnerships with clients to deliver effective technology solutions.",201-500,67 Pennsylvania Plaza 23Rd,New York,US,CompassMSP,info@compassmsp.com
