"﻿Input:Domain","Input:Accelerator","Input:Cohort","Domain","Name","Industry Groups","Business Model","Keywords","Description","Social URLs","Score","Revenue Range","Employees","Start Date","Street","City","State","Zip","Country","Phones","Public Emails","MX Provider","Redirect Domain","Update Date"
"10xscience.com","Y Combinator","Winter 2026","10xscience.com","10x Science","BIOTECHNOLOGY:0.88, SAAS:0.55","B2B:0.71","seed funding:0.4, native peptide mapping:0.33, generation protein:0.32, native platform:0.28, search libraries:0.25, qb scans:0.18, new tab:0.12, member herceptin:0.11, heavy fc region:0.11, cloud database:0.11, target identity:0.1, local asynchronous processing:0.09, therapeutic performance:0.08, unexpected sequence:0.07, zoom double:0.06","10x Science is an AI-native software platform designed for protein characterization and analysis. It allows scientists to molecularly analyze complex data in real time, providing tools for various types of scans, including RNAseB and HCD scans. Key features include automated scanning, programmatic search, and the ability to upload and manage datasets, enabling efficient analysis of proteins and their interactions. The platform supports both raw and mixed formats, enhancing its capabilities in proteomics research.","https://www.linkedin.com/company/10xscience","139","1-10M","1-10","2021-06-18","2261 Market St Ste","Columbia","MO","65211","US","","","google.com","","2026-07-04"
"a0.dev","Y Combinator","Winter 2025","a0.dev","a0.dev","SAAS:0.98","B2B:0.8, B2C:0.65","app idea:0.46, app color:0.39, dark mode:0.37, app store:0.36, online ayo:0.35, app publishing:0.34, reliable backend support:0.3, real time:0.27, ayo practice lock:0.26, vibe coding:0.2, ai inference:0.2, interactive dashboard:0.18, product showcase blogs:0.18, image generation:0.17, policy careers:0.08","a0.dev is a platform that enables users to build and publish mobile apps for the App Store, Google Play, and web platforms. It offers features such as AI-powered coding, one-click app publishing, integrated payments, and growth analytics. Users can easily manage their app ideas from anywhere using a single codebase, and it supports seamless deployment across multiple platforms like Android and iOS. The platform also includes built-in APIs for image generation and database support, allowing developers to create custom applications efficiently without needing extensive programming knowledge.","https://www.linkedin.com/company/a0-dev, https://x.com/a0_dev, https://apps.apple.com/us/app/a0-dev/id6759644922, https://play.google.com/store/apps/details?id=dev.a0.android.app","45","1-10M","1-10","2024-11-12","","","","","US","","founders@a0.dev","google.com","","2026-07-04"
"acrely.ai","Y Combinator","Summer 2025","acrely.ai","Acrely","SAAS:0.84, SOFTWARE:0.14","B2B:0.66","ai customer:0.57, agents innovative:0.55, builds enterprise:0.49, voice agents:0.49, innovative companies:0.48, distributors engineers:0.48, enterprises investors:0.46, investors distributors:0.45, operations enterprises:0.45, offerings acrely:0.45, acrely custom:0.44, leverage ai:0.44, companies cloud:0.43, acrely empowers:0.43, researchers operators:0.34","The website offers a range of services and products focused on cloud-based operations, particularly for the human resources sector. It provides tools and solutions for managing various aspects of financial management in finance, including stock control, tax compliance, and corporate social responsibility. Key features include personalized customer service support, product development, and innovative technology solutions tailored to meet specific business needs. The site also emphasizes community engagement through events and partnerships.","https://www.linkedin.com/company/acrely-ai","83","1-10M","1-10","2025-05-20","","","","","US","","","google.com","","2026-07-17"
"actual.ai","Alchemist","Class 39","actual.ai","Actual Software, Inc.","SAAS:0.89, SOFTWARE:0.06","B2B:0.86","architecture agent:0.55, coding agents:0.51, software teams:0.49, ai agents:0.48, ai development:0.47, code architectural:0.47, development codebase:0.45, guardrails ai:0.44, developer productivity:0.44, analyze codebases:0.44, advisor code:0.41, management agent:0.4, unlimited developers:0.4, analysis enterprise:0.4, monitor developer:0.4","Actual AI provides a platform called Architecture Agent that helps software engineering teams manage and optimize their codebases. Its main functionalities include analyzing existing code bases, tracking team productivity, managing architectural decisions, and ensuring compliance with data protection standards. Key features include real-time advisory support through GitHub and Slack, automated work summaries, integration with various agents, and security measures to protect against vulnerabilities. The platform also offers training workshops for creating an AI software factory.","https://www.linkedin.com/company/actualai, https://twitter.com/actual_ai_","147","1-10M","1-10","2021-06-08","","San Francisco","CA","94105","US","","legal@actual.ai","google.com","","2026-07-11"
"adaptional.com","Y Combinator","Summer 2025","adaptional.com","Adaptional","INSURANCE:0.98, SAAS:0.97","B2B:0.95","claims system:0.53, coverage policy:0.42, guidelines define audit:0.4, compliance gaps:0.36, cms reporting:0.35, request demo manual:0.34, teams sample:0.33, service quality:0.27, indemnity accuracy:0.27, time limit demands:0.23, reduced leakage:0.22, data feed data:0.18, ai engineers:0.16, recovery opportunities:0.14, open files:0.11","Adaptional is an AI-powered platform designed for continuous claims review in the insurance industry. It analyzes a large database of files, notes, and documents to identify compliance gaps, leakage, and reserve issues in real time. Key features include seamless integration with existing claims systems, automated alerts for open file openings while they are open, and customizable audit guidelines that prioritize key performance indicators like coverage and service quality. Adaptional aims to streamline claims quality assurance processes by reducing manual effort and improving overall efficiency in claims management.","https://www.linkedin.com/company/adaptional","82","1-10M","1-10","2022-10-21","989 Market St","San Francisco","CA","94103","US","","hi@adaptional.ai","","","2026-07-05"
"adrich.io","Alchemist","Class 41","adrich.io","Adrich","SAAS:0.47, SOFTWARE:0.15","B2B:0.96","insights consumer:0.66, consumer insights:0.62, consumers smart:0.62, smart consumption:0.59, consumption platform:0.56, consumer usage:0.56, understand consumer:0.55, consumer app:0.55, everyday consumer:0.54, platform consumer:0.53, shifting consumer:0.53, consumers predictable:0.53, deepen consumer:0.51, ecommerce technology:0.5, adrich iot:0.43","Adrich is a technology platform that provides IoT-powered insights and smart reordering for consumer packaged goods (CPG) brands. Its main functionality includes real-time consumption data, personalized communication through apps and email, and the ability to optimize product distribution based on customer behavior. Key features include automated subscription programs, reduced churn, and more accurate product repurchase strategies, all aimed at enhancing sustainability and improving overall brand engagement. The platform supports both B2C and B2B markets, enabling brands to engage consumers effectively while reducing shipping costs.","https://www.linkedin.com/company/adrich-llc, https://www.linkedin.com/company/adrichtech, https://twitter.com/adrichtech, https://www.youtube.com/channel/UCgiLP0R74A9TFEpwYajYPbQ","404","1-10M","11-50","2017-10-05","100 S Commons","Pittsburgh","PA","15212","US","+18706003038","","google.com","","2026-07-15"
"aemon.ai","Y Combinator","Winter 2026","aemon.ai","Aemon","SOFTWARE:0.93","B2B:0.74","aemon optimize:0.59, aemon iterative:0.55, aemon ai:0.52, retrieval optimization:0.5, codebases aemon:0.47, legal retrieval:0.44, iterative improvement:0.43, retrievalpipeline final:0.42, build ai:0.4, bm25index reranker:0.38, optimization legal:0.37, validating benchmarks:0.37, pipeline reranker:0.37, eval fittest:0.35, evolve solutions:0.34","Aemon is an AI research platform designed to accelerate the development process for software engineers (R&D) by focusing on hard technical problems. It autonomously studies existing systems, runs experiments within their codebase and verifies key performance indicators through automated testing and validation processes. Aemon transforms these insights into actionable solutions, helping teams identify breakthroughs and improve their product development outcomes effectively. The platform supports continuous learning and continuously monitors results to enhance R&D efforts.","https://www.linkedin.com/company/aemon-ai","18","1-10M","1-10","2025-12-20","","San Francisco","CA","","US","","founder@aemon.ai","google.com","","2026-07-11"
"afterquery.com","Y Combinator","Winter 2025","afterquery.com","AfterQuery","BIG_DATA_AND_ANALYTICS:0.87","B2B:0.88","training data solutions:0.43, problem ai researchers:0.41, valuable knowledge:0.4, data explore research:0.37, domain experts:0.37, real workflows:0.32, teaching models:0.3, frontier foundation model:0.29, better thinking:0.27, software end:0.24, open roles lab:0.23, revenue run:0.2, quality promptresponse:0.2, outputs plateau:0.13, rate read:0.1","AfterQuery is a research lab that focuses on improving AI models by capturing real-world reasoning and decision-making processes. Their main functionality includes creating datasets that reflect the thinking of experts, enhancing model performance through supervised fine-Tuning, reinforcement learning, and custom agent environments across various APIs and tools. Key features include insights into human interactions in software and hardware, as well as strategies to transform complex data into actionable insights for better training solutions.","https://www.linkedin.com/company/afterquery, https://x.com/afterquery","81","10-100M","51-200","2025-01-12","","Berkeley","CA","94704","US","","founders@afterquery.com","google.com","","2026-07-08"
"agent.nexus","Y Combinator","Fall 2025","agent.nexus","Nexus Enterprises Inc.","SAAS:0.94","B2B:0.9","enterprise ai tool:0.54, ai infra company:0.46, consulting lifecycle:0.4, infrastructure layer:0.37, euro telecom operator:0.31, product platform use:0.28, measurable business impact:0.26, customer onboarding:0.22, digital sales team:0.22, building block:0.18, single team:0.13, autonomous resolution:0.11, live demo:0.1, conversion improvement:0.04, fragment context:0.01","Nexus is a platform designed to enhance enterprise AI infrastructure by connecting various systems and agents. It eliminates the need for multiple tools such as AI assistants, cloud services, and legacy systems, allowing companies to manage their own AI solutions efficiently without the burden of migrations or reengineering. Key features include automated agent management, real-time insights into business processes, and the ability to integrate with existing workflows and improve efficiency across different industries. Nexus aims to streamline operations and reduce costs associated with off-the-shelf AI tools while ensuring data security and compliance.","https://www.linkedin.com/company/nexusagent, https://www.linkedin.com/company/nexusgpt, https://x.com/nexus_gpt","13","1-10M","1-10","2025-09-22","251 Little Falls Drive","Wilmington","DE","19808","US","+32468085206","paiacomplaints@inforegulator.org.za, contact@gpt.nexus","google.com","","2026-07-08"
"agentin.ai","Y Combinator","Winter 2025","agentin.ai","Agentin","SAAS:0.99, SUPPLY_CHAIN_AND_PROCUREMENT:0.58","B2B:0.95","enterprise software ai:0.69, control agents:0.51, intelligence layer:0.43, escalate invoices:0.41, erp free working:0.37, pay workflows:0.35, systems revenue:0.34, systems detect errors:0.27, technical overview:0.27, standard apis:0.26, policy violations act:0.19, edge cases:0.18, select design partners:0.18, statuses consistent:0.16, po cycle:0.07","Agentin is an AI-driven platform that enhances enterprise software by managing workflows across various systems such as ERP, Salesforce, NetSuite, ServiceNow, and Dynamics. Its main functionality includes monitoring orders, processing payments, and ensuring compliance with procurement regulations to improve efficiency and reduce errors. Key features include automated order creation, tracking of duplicates and overpayments, and providing real-time visibility into business processes to ensure alignment between systems. Agentin integrates seamlessly with existing systems and offers a scalable approach for teams looking to automate or enhance their workflows.","https://www.linkedin.com/company/agentin-ai","33","1-10M","11-50","2024-07-02","","San Francisco","CA","","US","","sankeerthrao@agentin.ai","google.com","","2026-07-13"
