Name,Domain,Description,Employees,Street,City,Country,company_clean,Final Email
123 Moving Florida,123movingflorida.com,"123 Moving Florida is a moving service that offers a range of relocation solutions for individuals and families. Their main functionality includes providing specialized moving services such as small moves, long-distance packing, and heavy-duty moving with flexible pricing options. Key features include personalized customer support throughout the relocation process, competitive pricing, and a focus on safety and professionalism in all operations. They also offer free quotes and have over 25 years of experience in the industry to ensure reliable and efficient moving experiences.",1-10,631 Blue Taverna Ln,Clearwater,US,123 Moving Florida,info@123movingflorida.com
1 Relocation Worldwide,1relo.com,"1 Relocation Worldwide offers relocation services for individuals and businesses looking to relocate overseas. Their main functionalities include executive class moving, professional packing, customs clearance, and residence-to-resident relocations. The company focuses on providing personalized customer service, ensuring a smooth moving experience, and offers resources such as move options and FAQs to assist clients in navigating their moves.",1-10,8336 Nw 30Th Terrace,Doral,US,1 Relocation Worldwide,manny@1relo.com
1st Class Moving Services,1stclassmovingservices.com,"1st Class Moving Services is a moving company based in Cedar Falls, Iowa, offering residential and commercial relocation services. They provide a range of services including local home moving, long-distance moves, apartment and condo relocations, furniture disassembly, junk removal, and specialized packing and loading services. The company emphasizes customer care, transparent communication, and professional service throughout the moving process, ensuring that clients receive personalized support for their belongings and secure transportation.",11-50,1925 Center Street,Cedar Falls,US,1st Class Moving Services,firstclassmoving01@gmail.com
All My Sons Moving & Storage,2-movers.com,"2MOVERS is a local and nationwide moving service that connects customers with professional movers for their moves. They offer a range of services including packing, storage, shipping, and legal assistance, catering to both individual clients and families. With over 25 years of experience, 2MOVers operates more than 60 locations across the United States, providing tailored moving solutions based on customer needs and budget. The company emphasizes customer satisfaction and has received positive reviews from its team for its efficient and friendly handling of belongings.",11-50,412 N. Main St,Buffalo,US,All My Sons Moving & Storage,info@2movers.com
24/7 Logistic Services,247logisticservices.com,"24/7 Logistic Services is a moving company that offers a range of local and long-distance relocation services for residential, commercial, and corporate clients across the country. Their main functionalities include packing, transporting, and storing belongings in transit, with options for specialized moves like college transfers and military gear. Key features include transparent pricing with no hidden fees, dedicated move coordinators, and a commitment to customer service, backed by over 30 years of experience and a network of trained crews.",11-50,2046 N Langley Rd,Glen Burnie,US,24/7 Logistic Services,charles@24ls.us
O'Laker's Moving and Storage,249move.com,"O'Laker's Moving is a moving company that specializes in corporate relocation and long-distance moves across the West Coast of Florida. They offer full-service moving solutions including packing, loading, transport, and unloading, as well as secure temporary storage options. The company is accredited by the Better Business Bureau and has received multiple customer reviews for its professionalism and service. O'Lakers Moving also provides military approved storage services and operates multiple locations throughout the state of Florida, ensuring reliable support for clients during their moving needs.",11-50,4529 Eagle Falls Place,Tampa,US,O'Laker's Moving and Storage,info@249move.com
24 Hour Moving,24hourmovingllc.com,"24 Hour Moving is a moving company based in Fort Worth, TX, offering a variety of moving services for residential and commercial clients. Their main functionalities include packing, unpacking, and storage solutions, with options for one-hour moves, long-distance relocations, and specialized services like furniture moving, piano transfers, and pool table relocation. The company emphasizes customer satisfaction and provides free estimates, insurance coverage for move-related matters, and assistance during the moving process.",11-50,3400 Elm Grove Dr,Ft Worth,US,24 Hour Moving,info@24hourmovingllc.com
24 Seven Moving,24sevenmoving.com,"24 Seven Moving is a moving service provider based in California that offers a range of relocation solutions. Their main functionalities include packing, unpacking, and furniture assembly for both residential and commercial moves. Key features include online booking, transparent pricing with no hidden fees, and specialized services for seniors and students, as well as options for heavy lifting and office relocations. The company emphasizes customer satisfaction throughout the moving process and provides support for various needs such as senior services, college relocations, and custom furniture assembly.",11-50,620 South Virgil Avenue,Los Angeles,US,24 Seven Moving,contact@24sevenmoving.com
2Friends Moving,2friendsmoving.ca,"2Friends Moving is a moving company that offers a range of services including residential moves, office relocation, and storage solutions. They provide 24/7 support and free estimates to ensure safe and efficient handling of belongings. The company emphasizes customer satisfaction, reliability, and has over 10 years of experience in the moving industry, with a strong emphasis on precision and attention to detail.",11-50,230 Hythe Ave,Burnaby,CA,2Friends Moving,info@2friendsmoving.ca
2Helpers,2helpers.com,"2Helpers is a moving company that offers professional moving services for residential, office, and commercial moves. Their main functionality includes providing free estimates, same-day service, and ensuring safe and efficient relocation with two experienced helpers available for each move. Key features include a streamlined process for booking, the ability to upload files for customization, and options for vehicle rentals or assistance with heavy lifting and sensitive equipment.",11-50,129 Socials S,New York,US,2Helpers,booking@2helpers.com
