Company,Domain,Group,DL_Headcount,ARR_read,Buyer,ICP_Status,ICP_Reason,D100_Status,D100_Reason
Atlas Invest,atlas-invest.co,SALES/MKTG,11-50,<$10M,Mortgage broker / RE lending originator,Qualified,"p1-5 PASS: B2B US real-estate fintech, broker/borrower buyer, deal-driven motion",Qualified,"p6-10 PASS: Israeli, 11-50, $1-10M, non-technical broker buyer, financing $ value"
"City Hive, Inc.",cityhive.net,SALES/MKTG,11-50,<$10M,"Owner / VP Marketing, alcohol retailer-distributor",Qualified,"p1-5 PASS: B2B commerce/mktg SaaS for US alcohol three-tier, demo, defensible TAM",Qualified,"p6-10 PASS: Israeli, 11-50, ~$5-10M, retail owner/mktg buyer, ecommerce revenue"
Clinii,clinii.com,HOT,11-50,<$10M,Practice Owner / Dir Clinical Ops,Qualified,"p1-5 PASS: B2B healthcare SaaS, US providers, demo motion, CCM TAM ample",Qualified,"p6-10 PASS: Israeli (Uri Levine-backed), 11-50, $1-10M, practice-ops buyer, revenue+admin-time value"
Dreamhub,dreamhub.ai,NO-COMMERCIAL ICP,11-50,<$10M,VP Sales / Head of RevOps,Qualified,"p1-5 pass: B2B SaaS CRM, US, demo motion, Sales/RevOps buyer",Qualified,"p6-10 PASS: Israeli, 11-50, $7M seed, non-tech RevOps/Sales buyer, revenue CRM"
Monto,montopay.com,HOT,11-50,<$5M,Head of AR / Finance / Collections,Qualified,"p1-5 pass: B2B fintech, AE/demo motion, defensible supplier TAM, named logos",Qualified,"Israeli, 11-50 emp, <$5M ARR, finance/AR buyer, get-paid-faster value"
Nominal,nominal.so,SALES/MKTG,1-10,<$10M,CFO / Controller / VP Finance,Qualified,"p1-5 PASS: B2B AI finance-automation SaaS, enterprise demo, large finance-team TAM",Qualified,"p6-10 PASS: Israeli, ~40 emp, rev <$10M, CFO/controller buyer, accounting time saved"
Parter,parter.ai,HOT,11-50,<$5M,VP Supply Chain / Head of Procurement,Qualified,"p1-5 PASS: B2B AI supply-chain SaaS for hardware OEMs, demo, funded",Qualified,"p6-10 PASS: Israeli, 11-50, $5.5M seed, ops/procurement buyer, cost/time-saved"
Slice | Global Equity,sliceglobal.com,SALES/MKTG,11-50,<$10M,Head of People / Finance / Legal Ops,Qualified,"p1-5 PASS: B2B US SaaS, compliance-first demo, Insight-backed, named logos",Qualified,"p6-10 PASS: Israeli, 11-50, <$10M ARR, People/Finance/Legal buyer, cost+time saved"
Altshare,altshare.com,NO-COMMERCIAL ICP,51-200,<$10M,CFO / Head of Finance,Qualified,"p1-5 PASS: B2B US equity-mgmt SaaS, CFO/demo motion, 3,000+ companies",Needs Review,"Israeli, ARR likely <$10M, CFO buyer; p7 borderline (51-200 band)"
Canopy,canopycare.us,NO-COMMERCIAL ICP,11-50,<$10M,Practice Administrator / VP Ops (oncology),Qualified,"p1-5 pass: B2B US oncology-practice SaaS, demo, practice-admin buyer",Needs Review,"Israeli, 11-50, ~$18M raised; p4 TAM thin (US oncology practices <5,000); p9 borderline"
Debbie,joindebbie.com,SALES/MKTG,11-50,<$10M,VP Lending / Member Engagement (credit union),Qualified,p1 PASS on review: actually B2B (sells to credit unions/banks) despite B2C tag,Needs Review,"Israeli co-founder + non-tech FI buyer + small; TAM ~5,000 US CUs/banks borderline"
Feedvisor,feedvisor.com,SALES/MKTG,51-200,~$15-20M,VP/Dir Ecommerce or Marketplace (brand),Qualified,"p1-5 PASS: B2B SaaS for Amazon brands, demo, revenue-tied",Needs Review,"Israeli + revenue buyer, but ARR likely near/over $10M ($31M raised, 51-200)"
Notch,notch.cx,HOT,11-50,<$10M,VP CX / Head of Service Ops,Qualified,"p1-5 pass: B2B AI customer-support SaaS, strategic AE motion, $45M raised",Needs Review,p9 borderline: CX/Ops buyer but regulated AI sale routes via IT
Simpleclosure,simpleclosure.com,NO-COMMERCIAL ICP,11-50,<$10M,Founder/CEO winding down; VC/fund ops,Qualified,"p1-5 PASS: B2B US startup-dissolution legaltech, demo/service, $20M+ raised",Needs Review,"Israeli, 11-50, but TAM thin (shutdown buyers), founder/CEO buyer; p4/p10 borderline"
Sweep,sweep.io,HOT,51-200,~$10-15M,RevOps / SF admin-architect (mixed),Qualified,"p1-5 pass: B2B SaaS, demo motion, RevOps/Salesforce TAM",Needs Review,p9 buyer leans Salesforce admin/architect (technical); p8 likely >$10M
Zorro,myzorro.co,NO-COMMERCIAL ICP,51-200,<$10M (borderline),Benefits broker / Head of HR / Total Rewards,Qualified,"p1-5 pass: B2B ICHRA benefits SaaS, US, demo, broker/HR buyer",Needs Review,"Israeli, non-tech HR/broker buyer, revenue-linked; p7/p8 borderline ($32M raised)"
Agora,agorareal.com,HOT,51-200,~$15-30M,Managing Partner / CFO / Head of IR,Qualified,"p1-5 PASS: B2B real-estate investment-mgmt SaaS, US GPs, demo, ample TAM",Disqualified,"p7 FAIL: 51-200 emp, $64M raised, ~$15-30M rev; over D100 size"
Applicaster,applicaster.com,NO-COMMERCIAL ICP,11-50,~$15M,VP Product / Head of Digital (technical),Qualified,"p1-5 pass: B2B media-SaaS, US/global, enterprise demo, broadcaster buyer",Disqualified,p9 FAIL: app-building platform bought by product/eng (technical); $60M raised
AppsFlyer,appsflyer.com,SALES/MKTG,1001-5000,$100M+,VP/Head of Growth or Mobile Marketing,Qualified,"p1-5 PASS: B2B mobile-attribution/marketing-analytics, demo, large TAM",Disqualified,"p7/p8 FAIL: 1000-5000 emp, $100M-1B rev"
April,,,,~$10-20M,Head of Product/Partnerships at fintech,Qualified,"p1-5 PASS: B2B US embedded-tax fintech, partnerships/sales-led, $78M raised",Disqualified,"p7/p8 FAIL: 51-200 emp, $10-100M; embedded API buyer leans technical"
Aquant,aquant.ai,SALES/MKTG,51-200,~$15-25M,VP/Head of Service or Field Service Ops,Qualified,"p1-5 PASS: B2B AI service-intelligence SaaS, enterprise demo",Disqualified,"p8 FAIL: $131M raised, 51-200 emp, ARR >$10M"
